STUSAB,COUNTY,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
AL,1.0,1539634184,25674812,Autauga,Autauga County,A,58805,24350,32.5322367,-86.6464395,06,58805,55648,42160,11445,217,881,35,910,3157,2979,534,1007,342,29,848,49,54,20,56,10,0,8,3,14,5,168,62,9,0,15,15,3,32,13,5,0,8,0,6,0,0,0,0,0,0,0,8,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,58805,2117,56688,54198,41582,11352,184,873,22,185,2490,2392,521,972,337,29,352,47,54,19,43,7,0,4,3,1,3,93,50,9,0,1,7,3,2,13,0,0,8,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44523,42571,32773,8363,173,638,30,594,1952,1871,177,779,169,22,579,35,31,12,42,1,0,7,3,9,5,77,27,0,0,9,4,0,18,13,0,0,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44523,1339,43184,41642,32408,8316,154,633,17,114,1542,1499,170,761,164,22,260,35,31,11,35,1,0,3,3,0,3,39,21,0,0,1,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24350,22412,1938,487,408,142,6,260,0,79,0,0,79
AL,3.0,4117656199,1132956041,Baldwin,Baldwin County,A,231767,124148,30.6592183,-87.7460666,06,231767,216743,189399,18217,1582,2067,143,5335,15024,14386,1955,4793,1107,97,5986,119,78,8,167,7,3,24,23,19,0,600,210,48,8,65,42,17,126,48,30,0,0,0,0,1,3,0,0,0,0,2,38,18,1,14,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,231767,12686,219081,208713,186495,18001,1291,2029,122,775,10368,9952,1873,4660,1069,97,1919,119,71,8,95,2,3,0,23,13,0,387,173,48,8,24,42,17,19,48,7,0,0,0,0,1,0,0,0,0,0,0,29,18,0,6,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,182471,172764,152668,13593,1242,1584,99,3578,9707,9375,660,3726,518,49,4117,100,30,4,105,7,0,21,23,15,0,306,105,9,3,29,22,5,96,25,6,0,0,0,0,1,3,0,0,0,0,2,26,7,0,14,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,182471,8197,174274,167568,150877,13464,1048,1557,84,538,6706,6503,638,3642,514,49,1433,100,30,4,59,2,0,0,23,9,0,185,91,9,3,8,22,5,19,25,2,0,0,0,0,1,0,0,0,0,0,0,18,7,0,6,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124148,93116,31032,3552,2761,1229,74,1212,246,791,309,0,482
AL,5.0,2292160149,50523213,Barbour,Barbour County,A,25223,11618,31.8702531,-85.4051035,06,25223,24523,11317,11933,116,117,1,1039,700,662,228,185,20,0,151,27,0,6,38,3,0,0,3,1,0,28,13,1,0,5,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,25223,1510,23713,23160,11086,11850,58,103,0,63,553,533,226,178,20,0,48,25,0,6,24,3,0,0,2,1,0,18,12,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,20134,19681,9582,9278,81,91,0,649,453,432,103,130,20,0,122,21,0,3,30,0,0,0,2,1,0,15,12,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,20134,934,19200,18844,9456,9218,49,85,0,36,356,343,103,130,20,0,41,19,0,3,24,0,0,0,2,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11618,9677,1941,2717,2672,2517,0,155,0,45,0,0,45
AL,7.0,1612188717,9572303,Bibb,Bibb County,A,22293,9002,33.0158929,-87.1271475,06,22293,21534,16555,4413,60,32,9,465,759,700,166,303,10,0,189,16,4,1,0,0,0,6,4,0,1,49,18,0,1,8,1,0,10,0,4,0,0,0,7,0,0,0,0,0,0,0,10,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22293,740,21553,20953,16442,4390,39,26,9,47,600,569,165,293,10,0,77,16,4,0,0,0,0,0,4,0,0,25,13,0,0,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17533,17067,13120,3564,47,24,9,303,466,427,61,225,7,0,118,14,1,0,0,0,0,0,0,0,1,29,10,0,0,8,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17533,463,17070,16690,13055,3549,37,18,9,22,380,358,61,221,7,0,54,14,1,0,0,0,0,0,0,0,0,16,5,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9002,7927,1075,2140,2101,1856,10,235,0,39,0,0,39
AL,9.0,1670259090,14860281,Blount,Blount County,A,59134,24622,33.9773575,-86.56644,06,59134,55478,50663,845,337,178,24,3431,3656,3524,316,1337,131,30,1644,3,3,0,20,4,0,29,0,2,5,109,28,4,1,8,17,4,44,0,1,1,1,0,0,0,0,0,0,0,0,0,22,14,0,5,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,59134,5771,53363,51063,49764,826,188,174,11,100,2300,2223,316,1315,124,26,415,0,3,0,17,1,0,6,0,0,0,62,27,4,1,3,17,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,14,11,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,45403,42965,39758,647,238,125,24,2173,2438,2358,104,1031,71,19,1097,3,0,0,9,0,0,19,0,0,5,61,12,0,1,3,8,1,33,0,1,1,1,0,0,0,0,0,0,0,0,0,18,12,0,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,45403,3534,41869,40279,39278,642,153,121,11,74,1590,1551,104,1019,66,15,335,0,0,0,6,0,0,6,0,0,0,26,11,0,1,3,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,24622,22367,2255,613,411,91,0,320,0,202,0,0,202
AL,11.0,1613083467,6030667,Bullock,Bullock County,A,10357,4516,32.1017589,-85.7172613,06,10357,10109,2320,7396,72,9,10,302,248,222,49,32,1,0,105,6,11,3,5,2,0,4,0,3,1,21,9,0,2,1,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10357,503,9854,9717,2281,7388,1,9,7,31,137,114,49,32,0,0,10,6,10,3,1,0,0,0,0,3,0,18,8,0,2,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8356,8195,2083,5892,38,5,5,172,161,144,31,26,1,0,63,6,8,3,3,2,0,0,0,0,1,12,3,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8356,273,8083,7988,2075,5885,1,5,3,19,95,80,31,26,0,0,5,6,8,3,1,0,0,0,0,0,0,10,3,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4516,3928,588,1704,1683,1580,0,103,0,21,0,0,21
AL,13.0,2012002546,2701199,Butler,Butler County,A,19051,9806,31.751667,-86.6819689,06,19051,18464,9752,8430,29,143,5,105,587,547,223,138,27,1,91,31,3,0,23,2,3,0,3,0,2,37,11,5,4,3,0,1,0,4,0,0,4,0,0,4,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19051,260,18791,18285,9679,8389,23,143,5,46,506,472,219,135,27,0,35,31,3,0,16,0,3,0,3,0,0,32,11,4,4,0,0,1,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14903,14532,7998,6326,29,115,5,59,371,353,112,112,15,1,63,22,3,0,18,2,0,0,3,0,2,18,10,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14903,178,14725,14414,7953,6299,23,115,5,19,311,294,108,109,15,0,18,22,3,0,16,0,0,0,3,0,0,17,10,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9806,8170,1636,281,252,54,0,198,0,29,0,0,29
AL,15.0,1569246127,16536293,Calhoun,Calhoun County,A,116441,53052,33.7705162,-85.8279089,06,116441,110412,80586,25559,487,1190,119,2471,6029,5732,1290,1940,393,50,1639,131,47,22,160,0,0,36,12,7,5,265,120,33,0,43,17,0,20,11,3,2,5,0,1,3,4,2,0,0,0,1,28,10,0,5,4,2,0,2,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,116441,5010,111431,106863,79519,25365,386,1164,112,317,4568,4355,1241,1892,393,50,495,124,43,22,79,0,0,2,11,0,3,198,115,24,0,15,12,0,4,11,3,0,5,0,0,3,3,2,0,0,0,1,11,4,0,1,2,2,0,2,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,92289,88398,65424,19865,391,1001,90,1627,3891,3733,438,1557,240,25,1185,97,29,13,102,0,0,26,11,6,4,149,73,6,0,20,13,0,14,10,0,2,4,0,0,3,4,0,0,0,0,0,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,92289,3229,89060,86117,64795,19748,333,985,83,173,2943,2822,429,1537,240,25,390,97,25,13,52,0,0,1,11,0,2,115,68,4,0,11,11,0,1,10,0,0,4,0,0,3,3,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,53052,46437,6615,5620,2066,1024,180,862,0,3554,3345,0,209
AL,17.0,1545085601,16971700,Chambers,Chambers County,A,34772,16373,32.9155039,-85.3940321,06,34772,33562,18850,13512,106,401,13,680,1210,1127,334,293,48,1,349,60,1,0,29,2,5,1,4,0,0,66,27,14,8,5,6,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,17,2,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34772,1237,33535,32639,18616,13441,71,385,11,115,896,839,330,291,48,1,91,54,1,0,17,1,1,0,4,0,0,52,19,14,8,1,5,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27791,27036,15603,10540,83,357,10,443,755,716,121,248,28,0,234,50,0,0,25,1,5,0,4,0,0,33,19,2,8,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27791,823,26968,26407,15456,10484,63,341,8,55,561,535,121,246,28,0,73,48,0,0,13,1,1,0,4,0,0,26,13,2,8,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16373,14238,2135,874,504,126,0,378,0,370,329,0,41
AL,19.0,1433620850,120310807,Cherokee,Cherokee County,A,24971,14513,34.0695153,-85.6542417,06,24971,24051,22707,987,109,56,1,191,920,888,179,457,21,9,176,11,0,3,15,1,1,2,6,7,0,25,10,2,5,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24971,400,24571,23761,22563,987,109,55,1,46,810,793,177,457,16,9,97,11,0,3,15,0,0,0,6,2,0,17,8,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20169,19558,18475,825,88,47,1,122,611,594,53,376,10,0,124,5,0,1,14,0,1,2,2,6,0,14,4,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20169,246,19923,19379,18400,825,88,46,1,19,544,533,51,376,10,0,72,5,0,1,14,0,0,0,2,2,0,11,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14513,10411,4102,293,278,115,0,163,0,15,0,0,15
AL,21.0,1794438835,20592116,Chilton,Chilton County,A,45014,19438,32.8540514,-86.7266071,06,45014,43011,35527,4067,338,181,6,2892,2003,1941,383,595,70,5,804,13,1,0,31,4,0,35,0,0,0,45,24,1,0,0,0,0,13,0,0,4,0,0,0,0,0,0,2,0,0,1,14,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,45014,4418,40596,39332,34878,4040,112,176,5,121,1264,1234,364,578,64,5,183,13,1,0,23,3,0,0,0,0,0,16,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,12,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,34385,33152,27886,3069,238,134,6,1819,1233,1192,100,472,36,5,518,10,1,0,20,2,0,28,0,0,0,32,17,1,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,34385,2735,31650,30878,27517,3056,94,129,5,77,772,756,94,455,30,5,147,10,1,0,12,2,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19438,17302,2136,382,282,148,0,134,0,100,0,0,100
AL,23.0,2365900081,19114321,Choctaw,Choctaw County,A,12665,7104,31.9909539,-88.2488894,06,12665,12405,7074,5232,30,22,0,47,260,247,82,67,12,0,41,32,1,0,6,0,1,1,4,0,0,10,0,0,0,1,0,0,4,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,12665,113,12552,12312,7039,5217,24,19,0,13,240,233,82,67,11,0,32,29,1,0,6,0,0,1,4,0,0,6,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10168,9988,5710,4211,16,18,0,33,180,172,45,56,6,0,34,21,0,0,6,0,0,0,4,0,0,7,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10168,75,10093,9925,5690,4199,15,15,0,6,168,162,45,56,5,0,25,21,0,0,6,0,0,0,4,0,0,6,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7104,5675,1429,66,66,0,0,66,0,0,0,0,0
